Date,Ticker,Status,Source,Note
2026-08-17,EUNL,missing,none,Kein aktueller und kein historischer Kurs verfuegbar
2026-08-17,EUNA,missing,none,Kein aktueller und kein historischer Kurs verfuegbar
2026-08-17,4GLD,missing,none,Kein aktueller und kein historischer Kurs verfuegbar
2026-08-17,LYMS,missing,none,Kein aktueller und kein historischer Kurs verfuegbar
2026-08-17,SEMI,missing,none,Kein aktueller und kein historischer Kurs verfuegbar
2026-08-17,EIMI,missing,none,Kein aktueller und kein historischer Kurs verfuegbar
2026-08-17,BTC-EUR,missing,none,Kein aktueller und kein historischer Kurs verfuegbar
2026-08-17,EUNL,missing,none,Kein aktueller und kein historischer Kurs verfuegbar
2026-08-17,EUNA,missing,none,Kein aktueller und kein historischer Kurs verfuegbar
2026-08-17,4GLD,missing,none,Kein aktueller und kein historischer Kurs verfuegbar
2026-08-17,LYMS,missing,none,Kein aktueller und kein historischer Kurs verfuegbar
2026-08-17,SEMI,missing,none,Kein aktueller und kein historischer Kurs verfuegbar
2026-08-17,EIMI,missing,none,Kein aktueller und kein historischer Kurs verfuegbar
2026-08-17,BTC-EUR,missing,none,Kein aktueller und kein historischer Kurs verfuegbar
