# EUR/USD-Wochenkurse aus den offiziellen EZB-Referenzkursen (Euro foreign
# exchange reference rates, taeglich veroeffentlicht seit 1999). Wird NUR
# gelesen, von keinem Skript geschrieben - ueberlebt damit jeden Lauf von
# scripts/backfill_history.py, der price_history.csv komplett neu aufbaut.
#
# Zweck: Alpha Vantages FX_WEEKLY liefert USD/EUR erst ab 2014-11-21. Fuer
# alles davor bleiben die neun USD-Ticker und BTC-EUR sonst leer (#61) - der
# Backfill rechnet sie bewusst nicht mehr mit einem spaeteren Kurs um. Diese
# Datei schliesst genau diese Luecke, in TAEGLICHER Aufloesung, damit jeder
# Wochenschlusskurs mit dem Kurs SEINES Handelstags umgerechnet wird statt
# mit dem einer benachbarten Woche.
#
# Abdeckung: 2006-01-02 bis 2014-11-14 (2272 Handelstage), also bis einschliesslich
# ISO-KW 46/2014. Ab KW 47/2014 uebernimmt FX_WEEKLY - dort steht bewusst
# kein Eintrag, damit die API-Daten unangetastet bleiben.
#
# Spalten:
#   Date         ISO-Datum des EZB-Handelstags
#   EUR_pro_USD  Wie viele EUR ein USD kostet, also 1/(EUR/USD).
#                Die EZB veroeffentlicht USD je EUR - hier ist der Kehrwert
#                eingetragen, gerundet auf 6 Nachkommastellen.
#
# Quelle: European Central Bank, "Euro foreign exchange reference rates"
#   https://www.ecb.europa.eu/stats/eurofxref/eurofxref-hist.zip
# Erhoben am 2026-08-22 aus der in currencyconverter 0.18.21 (PyPI)
# gebuendelten Kopie dieser Datei, da der Direktabruf hier nicht moeglich war.
# Zur Kontrolle: 2008-07-15 = 1,5990 USD/EUR (historisches Hoch),
# 2011-05-04 = 1,4882, 2014-11-14 = 0.804117 EUR_pro_USD.
#
# Zeilen mit fuehrendem # werden uebersprungen.
Date,EUR_pro_USD
2006-01-02,0.845594
2006-01-03,0.842105
2006-01-04,0.827609
2006-01-05,0.827267
2006-01-06,0.826925
2006-01-09,0.827952
2006-01-10,0.828912
2006-01-11,0.827267
2006-01-12,0.825559
2006-01-13,0.830634
2006-01-16,0.825627
2006-01-17,0.828157
2006-01-18,0.824742
2006-01-19,0.828295
2006-01-20,0.828638
2006-01-23,0.814531
2006-01-24,0.814863
2006-01-25,0.813405
2006-01-26,0.816060
2006-01-27,0.821558
2006-01-30,0.827678
2006-01-31,0.825219
2006-02-01,0.826993
2006-02-02,0.828775
2006-02-03,0.829119
2006-02-06,0.834655
2006-02-07,0.835213
2006-02-08,0.836960
2006-02-09,0.835282
2006-02-10,0.835422
2006-02-13,0.841184
2006-02-14,0.840477
2006-02-15,0.840054
2006-02-16,0.843313
2006-02-17,0.842957
2006-02-20,0.838082
2006-02-21,0.839913
2006-02-22,0.842105
2006-02-23,0.836330
2006-02-24,0.840619
2006-02-27,0.843739
2006-02-28,0.842105
2006-03-01,0.836540
2006-03-02,0.838856
2006-03-03,0.831947
2006-03-06,0.832154
2006-03-07,0.839419
2006-03-08,0.839349
2006-03-09,0.838926
2006-03-10,0.838997
2006-03-13,0.838785
2006-03-14,0.836960
2006-03-15,0.831532
2006-03-16,0.828569
2006-03-17,0.820681
2006-03-20,0.821423
2006-03-21,0.823452
2006-03-22,0.828569
2006-03-23,0.829531
2006-03-24,0.835492
2006-03-27,0.831601
2006-03-28,0.827541
2006-03-29,0.832501
2006-03-30,0.826720
2006-03-31,0.826173
2006-04-03,0.828981
2006-04-04,0.818532
2006-04-05,0.815528
2006-04-06,0.812216
2006-04-07,0.821085
2006-04-10,0.826515
2006-04-11,0.826105
2006-04-12,0.824742
2006-04-13,0.826856
2006-04-18,0.816193
2006-04-19,0.809979
2006-04-20,0.809979
2006-04-21,0.812018
2006-04-24,0.808734
2006-04-25,0.804829
2006-04-26,0.804829
2006-04-27,0.805542
2006-04-28,0.797639
2006-05-02,0.790952
2006-05-03,0.792267
2006-05-04,0.794155
