Date,EUNL,EUNA,4GLD,LYMS,SEMI,EIMI,BTC-EUR,LITE,BYDDY,SEDG,S92,TSLA,PLTR,MSTR,RIVN,KO,RHHBY,IUSA,XEON,EXSA,IBCL,IBCI,IQQ6,EXXY
2006-09-01,,,,5.67,,,,,,,,,,7.147540454,,17.582166434784103,16.37472529902515,10.2,,34.23,,,,
2006-09-08,,,,5.67,,,,,,,,,,7.135212316,,17.541134642229434,16.50866739293577,10.21,,33.53,,,,
2006-09-15,,,,5.85,,,,,,,,,,7.565289495,,17.593740473712202,16.55817685698076,10.45,,33.96,,,,
2006-09-22,,,,5.85,,,,,,,,,,7.4986367540000005,,17.16084982174734,16.37472529902515,10.25,,34.23,,,,
2006-09-29,,,,5.29,,,,,,,,,,8.043439687,,17.646164364740226,16.57777916279595,10.54,,34.6,,,,
2006-10-06,,,,5.42,,,,,,,,,,8.27463756,,17.672187369782005,16.57255328041053,10.66,,35.13,,,,
2006-10-13,,,,5.57,,,,,,,,,,8.765739813000001,,17.537897964139695,16.723096470573623,10.9,,35.87,,,,
2006-10-20,,,,5.47,,,,,,,,,,8.778732963,,18.525177926742593,16.63297623377447,10.8,,35.95,,,,
2006-10-27,,,,5.46,,,,,,,,,,9.476464683,,18.477535977666527,16.547725092209923,10.86,,35.87,,,,
2006-11-03,,,,5.34,,,,,,,,,,9.318964809,,18.221047291599913,16.44786666494156,10.77,,36.12,,,,
2006-11-10,,,,5.42,,,,,,,,,,9.718592226,,18.06207444926394,16.31488999508608,10.72,,36.34,,,,
2006-11-17,,,,5.64,,,,,,,,,,9.77688876,,18.49855543520246,16.429838420085837,10.9,,36.57,,,,
2006-11-24,,,,5.61,,,,,,,,,,9.631443228,,17.938569615576537,17.42428530931877,10.72,,36.09,,,,
2006-12-01,,,,5.3,,,,,,,,,,8.989732454,,17.581592758350258,16.866113905602184,10.43,,35.59,,,,
2006-12-08,,,,5.33,,,,,,,,,,8.75263718,,18.42050578512553,16.8537061302457,10.6,,36.0,,,,
2006-12-15,,,,5.53,,,,,,,,,,8.628868781000001,,18.667061841366582,17.072309666298004,10.93,,37.75,,,,
2006-12-22,,,,5.34,,,,,,,,,,8.702241800000001,,18.336912481192826,16.998918238126333,10.77,,37.24,,,,
2006-12-29,,,,5.35,,,,,,,,,,8.656790701,,18.31818240937897,16.979851994286502,10.82,,37.3,,,,
